Photo file Name;Date;Time;Rotation;Latitude;Longitude;X;Y;Position Accuracy;Altitude;Datum;Capture Mode Details;Project Name;Photo Description;Watermark;Tilt;Roll;Link
SchaGaDu-2024-04-25-14-59-40-Pila.jpg;25.04.2024;14:59:40;312;46.297555;8.034769;2'645'932.454;1'127'523.510;±3m;1415 m;WGS-84;Bearing: 312° NW;SchaGaDu;IM-Piz;;-69.9°;58.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-59-40-Pila.jpg
SchaGaDu-2024-04-25-15-00-01-Pila.jpg;25.04.2024;15:00:01;251;46.297565;8.034775;2'645'932.908;1'127'524.625;±3m;1415 m;WGS-84;Bearing: 251° SW;SchaGaDu;IM-Piz;;-79.8°;122.8°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-00-01-Pila.jpg
SchaGaDu-2024-04-25-15-00-49-Pila.jpg;25.04.2024;15:00:49;10;46.297554;8.034697;2'645'926.907;1'127'523.357;±4m;1417 m;WGS-84;Bearing: 10° N;SchaGaDu;IM-Piz;;37.9°;0.1°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-00-49-Pila.jpg
SchaGaDu-2024-04-25-15-09-20-Pila.jpg;25.04.2024;15:09:20;356;46.297153;8.029345;2'645'514.869;1'127'475.665;±11m;1388 m;WGS-84;BLDG Facade: South Elevation;SchaGaDu;IM-Piz;;5.0°;-3.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-09-20-Pila.jpg
SchaGaDu-2024-04-25-15-09-26-Pila.jpg;25.04.2024;15:09:26;6;46.296981;8.029055;2'645'492.668;1'127'456.377;±3m;1401 m;WGS-84;BLDG Facade: South Elevation;SchaGaDu;IM-Piz;;35.1°;5.6°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-09-26-Pila.jpg
SchaGaDu-2024-04-25-15-14-23-Pila.jpg;25.04.2024;15:14:23;319;46.296488;8.027377;2'645'363.787;1'127'400.604;±25m;1416 m;WGS-84;BLDG Facade: South East Elevation;SchaGaDu;IM-Piz;;22.2°;-0.8°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-14-23-Pila.jpg
SchaGaDu-2024-04-25-15-14-37-Pila.jpg;25.04.2024;15:14:37;313;46.296453;8.027242;2'645'353.415;1'127'396.635;±3m;1395 m;WGS-84;BLDG Facade: South East Elevation;SchaGaDu;IM-Piz;;-9.2°;4.6°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-14-37-Pila.jpg
SchaGaDu-2024-04-25-15-21-41-Pila.jpg;25.04.2024;15:21:41;250;46.294076;8.023378;2'645'057.653;1'127'130.179;±4m;1379 m;WGS-84;BLDG Facade: North East Elevation;SchaGaDu;IM-Piz;;-5.5°;3.7°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-21-41-Pila.jpg
SchaGaDu-2024-04-25-15-23-39-Pila.jpg;25.04.2024;15:23:39;170;46.293805;8.023885;2'645'096.945;1'127'100.345;±11m;1376 m;WGS-84;BLDG Facade: North Elevation;SchaGaDu;IM-Piz;;-53.3°;-13.8°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-23-39-Pila.jpg
SchaGaDu-2024-04-25-15-36-01-Pila.jpg;25.04.2024;15:36:01;15;46.297317;8.032401;2'645'750.199;1'127'495.671;±12m;1415 m;WGS-84;Street Address: E62, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-22.8°;-0.5°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-15-36-01-Pila.jpg
